model,mae,mae_std,rmse,rmse_std,r2,r2_std
naive_mean,1.8388888888888888,0.6937255538272479,2.5212294741250187,1.1404502326020034,-0.2486233561937435,0.16386677668872365
xgboost,2.0633332163095477,0.9442044610996356,2.830113572517073,1.2420430643984126,-0.6073924277856524,0.2809444896358856
random_walk,2.588888888888889,1.437225550827224,3.485177329632439,2.0981963373109283,-0.937491374013628,0.7064051894591542
linear,5.199299265349289,1.5730389150413708,6.182763137560731,1.9938844912180775,-10.191314056812589,6.401333606997629
mlp,5.28587284949172,3.061533052394312,6.597965652850697,3.7378803966062377,-10.326988677699571,8.094808330079516
